十宗罪	13.0*10000
万万没想到 第二季	9.3*10000
万万没想到 第一季	9.0*10000
谢文东4:风云再起之再战江湖	4.6*10000
仙剑客栈 第一季	4.1*10000
名侦探狄仁杰	3.1*10000
别那么骄傲 第一季	2.7*10000
整容季	2.5*10000
万万没想到 第三季	2.4*10000
会痛的17岁	2.3*10000
嘻哈四重奏 第五季	2.1*10000
万万没想到之小兵过年	2.1*10000
翻身姐妹 第二季	1.6*10000
优叻个秀 第一季	1.1*10000
天才J	1.1*10000
Yif魔幻 第二季	1.0*10000
乙方甲方	9296
孤独的美食家 中国版	8957
嘻哈四重奏 第一季	8950
大侠黄飞鸿	8646
嘻哈四重奏 第三季	7384
嘻哈四重奏 第四季	7084
爱情CEO	6998
嘻哈四重奏 第二季	6642
乙方甲方 第二季	6346
万万没想到：千钧一发	5859
山海经之山河图	5794
曾经想火 第二季	4723
绝世高手之大侠卢小鱼	4348
头号绯闻	4199
