老九门	109.13亿
画江湖之不良人	5.12亿
我不是妖怪	1.61亿
灵魂摆渡2	15.12亿
盗墓笔记	40.29亿
最好的我们	26.52亿
灵魂摆渡	15.41亿
校花的贴身高手4	1.88亿
校花的贴身高手2	3.78亿
校花的贴身高手3	2.59亿
校花的贴身高手	15.56亿
废柴兄弟4	4.96亿
废柴兄弟3	7.20亿
心理罪	7.47亿
花千骨2015	18.18亿
白衣校花与大长腿2	5.38亿
废柴兄弟1	6.71亿
废柴兄弟2	5.57亿
替身	4.50亿
芈月传奇—战国红颜	4.56亿
我的朋友陈白露小姐	6.37亿
白衣校花与大长腿	3.28亿
活着再见	2.57亿
神剧亮了	未识别
涩世纪传说	6.02亿
假如我有超能力	1.93亿
白衣校花与大长腿2番外篇	2628万
假如我有超能力	1.93亿
乾隆秘史	2.37亿
我的美女老师	3.39亿
你好外星人	1.50亿
百变五侠之我是大明星	4.07亿
来自星星的继承者们	1.38亿
不可思议的夏天	1.18亿
